Timestamp,Event
2025-07-17 23:43:17,PIN Strength Checked: Weak
2025-07-17 23:43:17,PIN Strength Checked: Weak
2025-07-17 23:43:17,PIN Strength Checked: Weak
2025-07-17 23:43:17,PIN Strength Checked: Weak
2025-07-17 23:43:17,PIN Strength Checked: Weak
2025-07-17 23:43:18,PIN Strength Checked: Weak
2025-07-17 23:43:18,PIN Strength Checked: Weak
2025-07-17 23:43:20,PIN Strength Checked: Weak
2025-07-17 23:43:20,PIN Strength Checked: Weak
2025-07-17 23:43:20,PIN Strength Checked: Weak
2025-07-17 23:43:20,PIN Strength Checked: Weak
2025-07-17 23:43:20,PIN Strength Checked: Weak
2025-07-17 23:43:20,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:22,PIN Strength Checked: Weak
2025-07-17 23:43:23,PIN Strength Checked: Weak
2025-07-17 23:43:23,PIN Strength Checked: Weak
2025-07-17 23:43:23,PIN Strength Checked: Weak
2025-07-17 23:43:24,PIN Strength Checked: Weak
2025-07-17 23:43:26,PIN Strength Checked: Weak
2025-07-17 23:43:26,PIN Strength Checked: Weak
2025-07-17 23:43:26,PIN Strength Checked: Weak
2025-07-17 23:43:26,PIN Strength Checked: Weak
2025-07-17 23:43:27,PIN Strength Checked: Weak
2025-07-17 23:43:27,PIN Strength Checked: Weak
2025-07-17 23:43:27,PIN Strength Checked: Weak
2025-07-17 23:43:28,PIN Strength Checked: Weak
2025-07-17 23:43:28,PIN Strength Checked: Weak
2025-07-17 23:43:28,PIN Strength Checked: Weak
2025-07-17 23:43:28,PIN Strength Checked: Weak
2025-07-17 23:43:29,PIN Strength Checked: Weak
2025-07-17 23:43:29,PIN Strength Checked: Medium
2025-07-17 23:43:29,PIN Strength Checked: Medium
2025-07-17 23:43:29,PIN Strength Checked: Medium
2025-07-17 23:43:29,PIN Strength Checked: Medium
2025-07-17 23:43:45,Image selected: C:/Users/Acer/Downloads/tettsts.png
2025-07-17 23:43:45,Pre-encryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-07-18 00:02:10,PIN Strength Checked: Weak
2025-07-18 00:02:10,PIN Strength Checked: Weak
2025-07-18 00:02:11,PIN Strength Checked: Weak
2025-07-18 00:02:11,PIN Strength Checked: Weak
2025-07-18 00:02:12,PIN Strength Checked: Weak
2025-07-18 00:02:12,PIN Strength Checked: Weak
2025-07-18 00:02:13,PIN Strength Checked: Weak
2025-07-18 00:02:13,PIN Strength Checked: Weak
2025-07-18 00:02:13,PIN Strength Checked: Weak
2025-07-18 00:02:15,PIN Strength Checked: Weak
2025-07-18 00:02:15,PIN Strength Checked: Weak
2025-07-18 00:02:15,PIN Strength Checked: Strong
2025-07-18 00:02:16,PIN Strength Checked: Strong
2025-07-18 00:02:16,PIN Strength Checked: Strong
2025-07-18 00:02:16,PIN Strength Checked: Strong
2025-07-18 00:02:16,PIN Strength Checked: Strong
2025-07-18 00:02:52,Image selected: C:/Users/Acer/Downloads/tettsts.png
2025-07-18 00:02:52,Pre-encryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-07-18 00:06:04,PIN Strength Checked: Weak
2025-07-18 00:06:04,PIN Strength Checked: Weak
2025-07-18 00:06:04,PIN Strength Checked: Weak
2025-07-18 00:06:04,PIN Strength Checked: Weak
2025-07-18 00:06:05,PIN Strength Checked: Weak
2025-07-18 00:06:06,PIN Strength Checked: Weak
2025-07-18 00:06:06,PIN Strength Checked: Weak
2025-07-18 00:06:06,PIN Strength Checked: Weak
2025-07-18 00:06:06,PIN Strength Checked: Weak
2025-07-18 00:06:06,PIN Strength Checked: Weak
2025-07-18 00:06:07,PIN Strength Checked: Weak
2025-07-18 00:06:07,PIN Strength Checked: Weak
2025-07-18 00:06:08,PIN Strength Checked: Weak
2025-07-18 00:06:08,PIN Strength Checked: Weak
2025-07-18 00:06:08,PIN Strength Checked: Weak
2025-07-18 00:06:08,PIN Strength Checked: Weak
2025-07-18 00:06:09,PIN Strength Checked: Weak
2025-07-18 00:06:09,PIN Strength Checked: Weak
2025-07-18 00:06:09,PIN Strength Checked: Weak
2025-07-18 00:06:10,PIN Strength Checked: Medium
2025-07-18 00:06:10,PIN Strength Checked: Medium
2025-07-18 00:06:10,PIN Strength Checked: Medium
2025-07-18 00:06:10,PIN Strength Checked: Medium
2025-07-18 00:06:10,PIN Strength Checked: Medium
2025-07-18 00:06:11,PIN Strength Checked: Medium
2025-07-18 00:06:11,PIN Strength Checked: Medium
2025-07-18 00:06:11,PIN Strength Checked: Medium
2025-07-18 00:06:11,PIN Strength Checked: Medium
2025-07-18 00:06:11,PIN Strength Checked: Medium
2025-07-18 00:06:12,PIN Strength Checked: Strong
2025-07-18 00:06:13,PIN Strength Checked: Strong
2025-07-18 00:06:27,Image selected: C:/Users/Acer/Downloads/tettsts.png
2025-07-18 00:06:27,Pre-encryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-07-18 00:09:33,PIN Strength Checked: Weak
2025-07-18 00:09:33,PIN Strength Checked: Weak
2025-07-18 00:09:34,PIN Strength Checked: Weak
2025-07-18 00:09:34,PIN Strength Checked: Weak
2025-07-18 00:09:34,PIN Strength Checked: Weak
2025-07-18 00:09:35,PIN Strength Checked: Weak
2025-07-18 00:09:35,PIN Strength Checked: Weak
2025-07-18 00:09:35,PIN Strength Checked: Weak
2025-07-18 00:09:35,PIN Strength Checked: Weak
2025-07-18 00:09:36,PIN Strength Checked: Medium
2025-07-18 00:09:36,PIN Strength Checked: Medium
2025-07-18 00:09:36,PIN Strength Checked: Medium
2025-07-18 00:09:36,PIN Strength Checked: Medium
2025-07-18 00:09:36,PIN Strength Checked: Medium
2025-07-18 00:09:36,PIN Strength Checked: Medium
2025-07-18 00:09:37,PIN Strength Checked: Medium
2025-07-18 00:09:37,PIN Strength Checked: Medium
2025-07-18 00:09:37,PIN Strength Checked: Strong
2025-07-18 00:09:37,PIN Strength Checked: Strong
2025-07-18 00:09:38,PIN Strength Checked: Strong
2025-07-18 00:09:40,Image selected: C:/Users/Acer/Downloads/tettsts.png
2025-07-18 00:09:40,Pre-encryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-07-18 00:09:50,PIN Strength Checked: Weak
2025-07-18 00:09:51,PIN Strength Checked: Weak
2025-07-18 00:09:51,PIN Strength Checked: Weak
2025-07-18 00:09:52,PIN Strength Checked: Weak
2025-07-18 00:09:52,PIN Strength Checked: Weak
2025-07-18 00:09:52,PIN Strength Checked: Weak
2025-07-18 00:09:52,PIN Strength Checked: Weak
2025-07-18 00:09:53,PIN Strength Checked: Weak
2025-07-18 00:09:53,PIN Strength Checked: Weak
2025-07-18 00:09:53,PIN Strength Checked: Weak
2025-07-18 00:09:54,PIN Strength Checked: Weak
2025-07-18 00:09:54,PIN Strength Checked: Weak
2025-07-18 00:09:54,PIN Strength Checked: Strong
2025-07-18 00:09:54,PIN Strength Checked: Strong
2025-07-18 00:09:54,PIN Strength Checked: Strong
2025-07-18 00:09:57,Image selected: C:/Users/Acer/Downloads/tettsts.png
2025-07-18 00:09:57,Pre-encryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-07-18 00:10:04,Image encrypted and saved to: C:/Users/Acer/Downloads/testttt.enc
2025-07-18 00:10:04,Hash saved to: C:/Users/Acer/Downloads/testttt.enc.meta
2025-07-18 00:12:24,Encrypted file loaded: C:/Users/Acer/Downloads/testttt.enc
2025-07-18 00:12:24,Post-decryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-07-18 00:12:24,Image integrity verified successfully.
2025-07-18 00:12:42,Image decrypted and saved to: C:/Users/Acer/Downloads/tsett.png
2025-07-18 00:12:42,Encrypted and meta files deleted after successful decryption.
2025-07-18 00:12:44,Decryption failed: [WinError 2] The system cannot find the file specified: 'C:/Users/Acer/Downloads/testttt.enc'
2025-07-18 00:14:31,PIN Strength Checked: Weak
2025-07-18 00:14:31,PIN Strength Checked: Weak
2025-07-18 00:14:32,PIN Strength Checked: Weak
2025-07-18 00:14:32,PIN Strength Checked: Weak
2025-07-18 00:14:33,PIN Strength Checked: Weak
2025-07-18 00:14:33,PIN Strength Checked: Weak
2025-07-18 00:14:33,PIN Strength Checked: Weak
2025-07-18 00:14:34,PIN Strength Checked: Weak
2025-07-18 00:14:34,PIN Strength Checked: Weak
2025-07-18 00:14:34,PIN Strength Checked: Weak
2025-07-18 00:14:34,PIN Strength Checked: Weak
2025-07-18 00:14:35,PIN Strength Checked: Strong
2025-07-18 00:14:35,PIN Strength Checked: Strong
2025-07-18 00:14:35,PIN Strength Checked: Strong
2025-07-18 00:14:45,Image selected: C:/Users/Acer/Downloads/image encryption/image_encryption_project/testing1.png
2025-07-18 00:14:45,Pre-encryption SHA256: 468d80c367ed3f01fc723482466adbac8760d078643e440a109c9cdd454785e2
2025-07-18 00:14:54,Image encrypted and saved to: C:/Users/Acer/Downloads/image encryption/image_encryption_project/testing11.enc
2025-07-18 00:14:54,Hash saved to: C:/Users/Acer/Downloads/image encryption/image_encryption_project/testing11.enc.meta
2025-07-18 00:15:23,Encrypted file loaded: C:/Users/Acer/Downloads/image encryption/image_encryption_project/testing11.enc
2025-07-18 00:15:23,Post-decryption SHA256: 468d80c367ed3f01fc723482466adbac8760d078643e440a109c9cdd454785e2
2025-07-18 00:15:23,Image integrity verified successfully.
2025-07-18 00:15:47,Image decrypted and saved to: C:/Users/Acer/Downloads/image encryption/image_encryption_project/testing11.png
2025-07-18 00:15:47,Encrypted and meta files deleted after successful decryption.
2025-07-18 00:15:49,Decryption failed: [WinError 2] The system cannot find the file specified: 'C:/Users/Acer/Downloads/image encryption/image_encryption_project/testing11.enc'
2025-07-18 00:22:46,PIN Strength Checked: Weak
2025-07-18 00:22:46,PIN Strength Checked: Weak
2025-07-18 00:22:47,PIN Strength Checked: Weak
2025-07-18 00:22:47,PIN Strength Checked: Weak
2025-07-18 00:22:47,PIN Strength Checked: Weak
2025-07-18 00:22:48,PIN Strength Checked: Weak
2025-07-18 00:22:48,PIN Strength Checked: Weak
2025-07-18 00:22:49,PIN Strength Checked: Weak
2025-07-18 00:22:49,PIN Strength Checked: Weak
2025-07-18 00:22:49,PIN Strength Checked: Weak
2025-07-18 00:22:49,PIN Strength Checked: Weak
2025-07-18 00:22:50,PIN Strength Checked: Strong
2025-07-18 00:22:50,PIN Strength Checked: Strong
2025-07-18 00:22:50,PIN Strength Checked: Strong
2025-07-18 00:23:00,Image selected: C:/Users/Acer/Downloads/image encryption/image_encryption_project/testing11.png
2025-07-18 00:23:00,Pre-encryption SHA256: 468d80c367ed3f01fc723482466adbac8760d078643e440a109c9cdd454785e2
2025-07-18 00:23:11,Image encrypted and saved to: C:/Users/Acer/Downloads/image encryption/image_encryption_project/test.enc
2025-07-18 00:23:11,Hash saved to: C:/Users/Acer/Downloads/image encryption/image_encryption_project/test.enc.meta
2025-07-18 00:23:34,Encrypted file loaded: C:/Users/Acer/Downloads/image encryption/image_encryption_project/test.enc
2025-07-18 00:23:34,Post-decryption SHA256: 468d80c367ed3f01fc723482466adbac8760d078643e440a109c9cdd454785e2
2025-07-18 00:23:34,Image integrity verified successfully.
2025-07-18 00:23:54,Image decrypted and saved to: C:/Users/Acer/Downloads/image encryption/image_encryption_project/test.png
2025-07-18 00:23:54,Encrypted and meta files deleted after successful decryption.
2025-08-06 15:10:38,PIN Strength Checked: Weak
2025-08-06 15:10:38,PIN Strength Checked: Weak
2025-08-06 15:10:39,PIN Strength Checked: Weak
2025-08-06 15:10:39,PIN Strength Checked: Weak
2025-08-06 15:10:40,PIN Strength Checked: Weak
2025-08-06 15:10:40,PIN Strength Checked: Weak
2025-08-06 15:10:40,PIN Strength Checked: Weak
2025-08-06 15:10:41,PIN Strength Checked: Weak
2025-08-06 15:10:41,PIN Strength Checked: Weak
2025-08-06 15:10:42,PIN Strength Checked: Weak
2025-08-06 15:10:42,PIN Strength Checked: Weak
2025-08-06 15:10:42,PIN Strength Checked: Strong
2025-08-06 15:10:42,PIN Strength Checked: Strong
2025-08-06 15:10:42,PIN Strength Checked: Strong
2025-08-06 15:10:49,Image selected: C:/Users/Acer/Downloads/tsett.png
2025-08-06 15:10:49,Pre-encryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-08-06 15:11:07,Image encrypted and saved to: C:/Users/Acer/Downloads/tesyt.enc
2025-08-06 15:11:07,Hash saved to: C:/Users/Acer/Downloads/tesyt.enc.meta
2025-08-11 20:57:13,Encrypted file loaded: C:/Users/Acer/Downloads/tesyt.enc
2025-08-11 20:57:13,Post-decryption SHA256: f4290f229b480ca4b43bdf2f19d01ce5e38943c907bf08efcc569dd60566037a
2025-08-11 20:57:13,Image integrity verified successfully.
